id,text,ann1_lv1,ann1_lv2,ann1_lv3,ann2_lv1,ann2_lv2,ann2_lv3,keyword,source,title,label,,,
###,确实太没品了，取关了不用送。,1,2,,1,2,,单亲家庭,微博,,0,,,
###,你倒是去做点实事啊？凭两句话就做“大善人”不亏心吗,1,2,,1,2,,伤残人员,微博,,0,,,
###,现实中不是单亲家庭的，打爸妈不孝顺的比单亲的可多多了太开心],1,2,,1,2,,单亲家庭,微博,,0,,,
###,“是为了寻求更多关注无意中受到大家关注”,0,,,0,,,伤残人员,微博,,0,,,
###,一想起考公考研都推荐看人民日报评论，就觉得也就那样了，没啥希望，我是指各种意义上的没啥希望,1,1,,1,1,,普通人,微博,,0,,,
###,讨论恶法亦法，恶法非法的前提是，先确定“恶”的标准，这个标准是“道德”还是别的什么。实现法治的“法律”是不是不仅要内容良善，还应该具备法的形式。这其实是法哲学的范畴。,0,,,0,,,弱势地位群体,微博,,0,,,
###,遥想两年前干工程的时候，每天吃着10块钱盒饭，还有鸡腿，肉丸子，足可以果腹,0,,,0,,,普通人,微博,,0,,,
###,别说一个14岁的孩子，疫情这么长时间，我们成年人有几个不崩溃的，只是我们上有老下有小，不敢死，也死不起！,1,2,,0,,,普通人,微博,,0,,,
###,人民日报招高学历就是为了写这些东西恶心人吗,1,1,,1,1,,普通人,微博,,0,,,
###,我也被新疆人偷过手机，它手伸我口袋给我一把拽回来，我质问她你为什么拿我手机！她狠狠看了我一眼，街边走出两个新疆男的是她同伙，恶狠狠朝我走过来汗],1,1,,1,1,,普通人,微博,,0,,,
###,你的话很讲人情世故吗？呵呵。实话就是不讲人情世故的，你想听人情世故就不要来问什么专业意见。疫苗的各种不良反应基本没有心血管损伤的，除了阿斯利康的疫苗有一些影响。说实话，我很担心感染这么猛还有没有时间窗口打疫苗。说白了，你问专业意见需求很小，心理抚慰的需求很大。就此别过,1,2,,1,2,,老人,微博,,0,,,
###,警惕境外势力打讨薪牌doge],1,2,,0,,,弱势地位群体,微博,,0,,,
###,未知苦处，不信神佛。,1,3,4,1,3,3,弱势地位群体,微博,,0,,,
###,用别人开户的银行卡，房子车子写别人名下，没问题吧,0,,,0,,,伤残人员,微博,,0,,,
###,建议更新低保评选标准，或者取消低保。我身边拿低保的都是关系户,1,3,2,1,3,2,伤残人员,微博,,1,,,
###,这种婚姻。其实带不带孩子走有什么关系都活成这样了。不对他不还在纠结离婚不离婚,1,3,1,1,3,1,妇女,微博,,3,,,
###,我也不信谎言！,1,2,,1,2,,伤残人员,微博,,0,,,
###,关注流浪汉从我做起,1,3,3,1,3,4,弱势地位群体,微博,,0,,,
